County,State,Outbreak Date,Flock Type,Flock Size
Dubois,Indiana,2/8/2022,Commercial Turkey Meat Bird,29000
Fauquier,Virginia,2/12/2022,WOAH Non-Poultry,90
Fulton,Kentucky,2/12/2022,Commercial Broiler Production,231400
Webster,Kentucky,2/15/2022,Commercial Turkey Meat Bird,53300
Dubois,Indiana,2/16/2022,Commercial Turkey Meat Bird,26600
Suffolk,New York,2/18/2022,WOAH Non-Poultry,8
Knox,Maine,2/19/2022,WOAH Non-Poultry,30
New Castle,Delaware,2/22/2022,Commercial Table Egg Layer,1046900
Greene,Indiana,2/23/2022,Commercial Turkey Meat Bird,15400
Kalamazoo,Michigan,2/23/2022,WOAH Non-Poultry,30
Knox,Maine,2/23/2022,WOAH Non-Poultry,100
Greene,Indiana,2/23/2022,Commercial Turkey Meat Bird,48200
Dutchess,New York,2/24/2022,WOAH Non-Poultry,200
Ulster,New York,2/24/2022,WOAH Non-Poultry,70
Dubois,Indiana,2/24/2022,Commercial Turkey Meat Bird,36000
New London,Connecticut,3/1/2022,WOAH Non-Poultry,160
Pottawattamie,Iowa,3/1/2022,WOAH Non-Poultry,40
Dubois,Indiana,3/2/2022,Commercial Turkey Meat Bird,16500
Stoddard,Missouri,3/4/2022,Commercial Broiler Production,294800
Bates,Missouri,3/4/2022,WOAH Non-Poultry,50
Cecil,Maryland,3/4/2022,Commercial Table Egg Layer,644000
Charles Mix,South Dakota,3/5/2022,Commercial Turkey Meat Bird,44100
Buena Vista,Iowa,3/6/2022,Commercial Turkey Meat Bird,49800
New Castle,Delaware,3/8/2022,Commercial Table Egg Pullets,243900
Jasper,Missouri,3/8/2022,Commercial Turkey Meat Bird,25000
Queen Anne's,Maryland,3/8/2022,Commercial Broiler Production,139300
Lawrence,Missouri,3/9/2022,Commercial Turkey Breeder Replacement Hens,37800
Taylor,Iowa,3/10/2022,Commercial Table Egg Layer,915900
Cecil,Maryland,3/10/2022,Commercial Table Egg Layer,663400
Mclean,Illinois,3/11/2022,WOAH Non-Poultry,40
Franklin,Kansas,3/11/2022,WOAH Poultry,260
Lincoln,Maine,3/12/2022,WOAH Non-Poultry,100
Charles Mix,South Dakota,3/12/2022,Commercial Turkey Meat Bird,37500
Jefferson,Wisconsin,3/14/2022,Commercial Table Egg Layer,2750700
