Year-Month,Outbreaks,Price,bacon price,potato price,soybean price,wheat price,corn price,Christmas,Thanksgiving,Passover/Easter,gas price
2022-02,8,2.005,7.097,0.802,15.885375,390.5,6.5006,False,False,False,3.611
2022-03,56,2.046,7.203,0.825,16.733152173913044,486.3,7.4656521739130435,False,False,False,4.322
2022-04,68,2.52,7.422,0.849,16.798190476190477,495.28,7.859309523809524,False,False,True,4.213
2022-05,56,2.863,7.364,0.875,16.583690476190476,522.29,7.838690476190477,False,False,False,4.545
2022-06,14,2.707,7.403,0.891,16.876063636363636,459.59,7.5979636363636365,False,False,False,5.032
2022-07,3,2.936,7.415,0.945,15.627895238095237,382.5,6.7357000000000005,False,False,False,4.668
2022-08,8,3.116,7.372,0.994,15.713043478260868,382.86,6.319891304347825,False,False,False,4.087
2022-09,108,2.902,7.383,1.019,14.637727272727272,419.14,6.810340909090908,False,False,False,3.817
2022-10,66,3.419,7.608,0.991,13.812380952380952,437.95,6.8549999999999995,False,False,False,3.935
2022-11,98,3.589,7.243,0.945,14.417272727272728,422.68,6.678863636363636,False,True,False,3.799
2022-12,160,4.25,6.956,0.948,14.746363636363638,386.33,6.515568181818182,True,False,False,3.324
2023-01,6,4.823,6.808,0.953,15.110909090909091,380.36,6.7102272727272725,False,False,False,3.445
2023-02,14,4.211,6.595,0.978,15.279,394.75,6.714125,False,False,False,3.501
2023-03,25,3.446,6.613,0.968,14.903478260869566,369.86,6.375326086956521,False,False,False,3.535
2023-04,19,3.27,6.549,0.98,14.886500000000002,378.18,6.5424999999999995,False,False,True,3.711
2023-05,5,2.666,6.339,1.008,13.829565217391304,367.74,6.08804347826087,False,False,False,3.666
2023-08,7,2.043,6.502,1.094,13.886086956521739,315.82,4.757934782608696,False,False,False,3.954
2023-09,2,2.065,7.083,1.047,13.258095238095239,314.68,4.733214285714285,False,False,False,3.958
2023-10,23,2.072,7.223,1.006,12.84590909090909,298.1,4.885454545454546,False,False,False,3.742
2023-11,106,2.138,6.899,0.983,13.423684210526316,283.55,4.681578947368421,False,True,False,3.443
2023-12,192,2.507,6.774,0.961,13.134285714285713,291.12,4.68952380952381,True,False,False,3.257
2024-01,6,2.522,6.614,0.978,12.35086956521739,283.91,4.525978260869565,False,False,False,3.197
2024-02,16,2.996,6.56,0.971,11.708571428571428,278.5,4.231190476190476,False,False,False,3.328
2024-03,5,2.992,6.609,0.972,11.792857142857143,274.83,4.307142857142857,False,False,True,3.542
2024-04,8,2.864,6.637,0.971,11.648636363636363,272.3,4.3444318181818184,False,False,True,3.733
2024-05,10,2.699,6.818,0.964,12.184347826086958,289.42,4.55554347826087,False,False,False,3.725
2024-06,8,2.715,6.827,0.993,11.7245,265.55,4.39525,False,False,False,3.576
2024-07,3,3.08,6.883,1.017,11.18,260.26,3.990978260869565,False,False,False,3.6
2024-09,4,3.821,6.955,1.009,10.12857142857143,269.69,4.005595238095238,False,False,False,3.338
2024-10,20,3.37,6.869,0.998,10.03217391304348,272.85,4.160978260869565,False,False,False,3.261
2024-11,93,3.649,6.843,0.956,9.953809523809523,253.75,4.238333333333333,False,True,False,3.175
2024-12,294,4.146,6.915,0.949,9.833181818181819,252.17,4.405909090909091,True,False,False,3.139
2025-01,36,4.953,7.044,0.973,10.284782608695652,254.09,4.749891304347826,False,False,False,3.196
